product_name,price,rating,review_count,category,source,date_collected
"Carrington Farms Organic Matcha Green Tea Powder, 3.5oz",8.74,4.3,473,powder,Walmart,2026-04-13
"Morning Made Ceremonial Grade Organic Matcha Latte Powder, Vanilla, 10 pack (0.18oz ea)",8.98,4.3,227,latte_mix,Walmart,2026-04-13
"Jade Leaf Organic Ceremonial Grade Matcha Powder, Barista Edition, 1.06 oz Tin",19.99,4.6,907,ceremonial,Walmart,2026-04-13
"Jade Leaf Matcha, Organic Japanese Culinary Matcha, Powdered Tea, 0.7 Oz",8.64,4.5,1699,powder,Walmart,2026-04-13
"Jade Leaf Matcha, Organic Japanese Matcha Latte Mix, Powdered Tea, 3.5 Oz",8.64,4.4,1847,latte_mix,Walmart,2026-04-13
"Jade Leaf Organic Matcha Latte Mix, Original, Dairy-Free Matcha Green Tea Powder, 17.6 oz Tub",24.79,4.6,611,latte_mix,Walmart,2026-04-13
"Terrasoul Superfoods Organic Matcha Green Tea (Ceremonial Grade in Miron Glass), 4.24 Oz / 120g (2.12 Oz 2-Pack)",37.99,4.9,78,ceremonial,Walmart,2026-04-13
"MatchAiA USDA-Certified Organic Matcha, 100% Pure Green Tea Powder, Premium Culinary Grade for Lattes, Smoothies, Desserts and Baking, Sugar Free, Gluten Free (60g / 2.1oz Pouch)",8.95,4.6,19,powder,Walmart,2026-04-13
"Everyday Matcha 100% Japanese Green Tea Powder, 12 Ounce",33.0,4.8,12,powder,Walmart,2026-04-13
uVernal Organic Matcha Green Tea Powder - 100% Pure Matcha for Smoothies Latte and Baking Easy to Mix - 4oz,14.99,4.8,1029,powder,Walmart,2026-04-13
"Jade Leaf Organic Matcha Latte Mix, Original, Dairy-Free Matcha Green Tea Powder, 17.6 oz Tub",30.99,4.6,628,latte_mix,Walmart,2026-04-13
"Melting Forest Mushroom Matcha Powder with Reishi, Lion’s Mane, Organic Adaptogen Blend, GMO-Free, 30 Count",14.99,5.0,1,powder,Walmart,2026-04-13
